FID,id,site_id,latitude,longitude,country_id,month_start,year_start,month_end,year_end,species,id_method1,id_method2,sample_method1,sample_method2,sample_method3,sample_method4,assi,citation
Anopheline_Data.fid-4b4ba6ae_1627243c985_757b,35401,1000008718,8.124,4.247,NGA,,1999,,1999,"Anopheles arabiensis Patton, 1905",morphology,not applicable,larval collection,,,,,"Matthews, S.D., Meehan, L.J., Onyabe, D.Y., Vineis, J., Nock, I., Ndams, I. and Conn, J.E. (2007).  <b>Evidence for late Pleistocene population expansion of the malarial mosquitoes, <i>Anopheles arabiensis</i> and <i>Anopheles gambiae</i> in Nigeria.</b> <i>Medical and Veterinary Entomology</i>, <b>21</b>(4):358-69"
Anopheline_Data.fid-4b4ba6ae_1627243c985_757c,35339,1000008711,9.299,9.333,NGA,9,2000,9,2000,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_757d,35337,1000008711,9.299,9.333,NGA,7,2000,7,2000,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_757e,35338,1000008711,9.299,9.333,NGA,8,2000,8,2000,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_757f,35340,1000008711,9.299,9.333,NGA,10,2000,10,2000,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7580,35341,1000008711,9.299,9.333,NGA,11,2000,11,2000,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7581,35342,1000008711,9.299,9.333,NGA,12,2000,12,2000,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7582,35343,1000008711,9.299,9.333,NGA,1,2001,1,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7583,35344,1000008711,9.299,9.333,NGA,2,2001,2,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
Anopheline_Data.fid-4b4ba6ae_1627243c985_7584,35345,1000008711,9.299,9.333,NGA,3,2001,3,2001,"Anopheles arabiensis Patton, 1905",morphology,not applicable,house resting inside,,,,,"Lenhart, A., Eigege, A., Kal, A., Pam, D., Miri, E.S., Gerlong, G., Oneyka, J., Sambo, Y., Danboyi, J., Ibrahim, B., Dahl, E., Kumbak, D., Dakul, A., Jinadu, M., Umaru, J., Richards, F.O. and Lehmann, T. (2007).  <b>Contributions of different mosquito species to the transmission of lymphatic filariasis in central Nigeria: implications for monitoring infection by PCR in mosquito pools.</b> <i>Filaria Journal</i>, <b>6</b>:14"
